Finalize,Verify,Follow-Up,Trapped Date,Is Import,Facility,Trap,Trap Is Offsite,Trapping Session Name,Target Species,Target Run,Trapping Session Comments,Fish ID,Count,Species,Run,Sex,Origin,Origin Expression,Origin Description,Origin Start Date,Origin End Date,Origin Creator,Origin Creation Date,Living Status,Length,Age Designation,Age Calculated,Age Criteria Start Length,Age Criteria End Length,Age Criteria Start Date,Age Criteria End Date,Moved To Facility,Moved To,Moved To Location Type,Moved To Is Offsite,Offsite Owner Facility,Offsite Location Latitude,Offsite Location Longitude,Offsite Location Description,Disposition,Release Site,Release Site Latitude,Release Site Longitude,Purpose,Existing Marks,Existing Marks Quantity,Applied Marks,Applied Marks Quantity,Existing Tags,Applied Tags,Existing CWT,Existing CWT Value,Applied CWT,Applied CWT Value,Existing PIT,Applied PIT,Samples,Conditions,Recap,Injected,Weight,Notes,Group Notes,Import Custom
FALSE,FALSE,FALSE,4/3/2019,FALSE,Lookingglass Fish Hatchery,Lookingglass  Upper Trap,FALSE,Session - 04/03/2019 Lookingglass  Upper Trap 8:00 AM PST,Steelhead,Summer,NA,10,1,Steelhead,Summer,Female,Natural,( Existing Unclipped [Mark UNC]  and Existing Coded Wire Tag-Not Present [Tag CWT-NP]  ),Natural,NA,NA,oregon,7/22/2025,Alive,590,NA,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Lookingglass Creek Upstream,Release Site,FALSE,NA,NA,NA,NA,Released,Lookingglass Creek Upstream,45.75,-117.870002746582,Natural Spawning,UNC,1,ROP,1,NA,NA,Not Present,NA,NA,NA,NA,NA,"GEN 10, SCALE 10",NA,FALSE,FALSE,NA,NA,NA,NA
FALSE,FALSE,FALSE,4/5/2019,FALSE,Lookingglass Fish Hatchery,Lookingglass  Upper Trap,FALSE,Session - 04/05/2019 Lookingglass  Upper Trap 8:00 AM PST,Steelhead,Summer,NA,11,1,Steelhead,Summer,Male,Natural,( Existing Unclipped [Mark UNC]  and Existing Coded Wire Tag-Not Present [Tag CWT-NP]  ),Natural,NA,NA,oregon,7/22/2025,Alive,566,NA,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Lookingglass Creek Upstream,Release Site,FALSE,NA,NA,NA,NA,Released,Lookingglass Creek Upstream,45.75,-117.870002746582,Natural Spawning,UNC,1,ROP,1,NA,NA,Not Present,NA,NA,NA,NA,NA,"GEN 11, SCALE 11",NA,FALSE,FALSE,NA,NA,NA,NA
FALSE,FALSE,FALSE,4/5/2019,FALSE,Lookingglass Fish Hatchery,Lookingglass  Upper Trap,FALSE,Session - 04/05/2019 Lookingglass  Upper Trap 8:00 AM PST,Steelhead,Summer,NA,12,1,Steelhead,Summer,Male,Natural,( Existing Unclipped [Mark UNC]  and Existing Coded Wire Tag-Not Present [Tag CWT-NP]  ),Natural,NA,NA,oregon,7/22/2025,Alive,600,NA,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Lookingglass Creek Upstream,Release Site,FALSE,NA,NA,NA,NA,Released,Lookingglass Creek Upstream,45.75,-117.870002746582,Natural Spawning,UNC,1,ROP,1,NA,NA,Not Present,NA,NA,NA,NA,NA,"GEN 12, SCALE 12",NA,FALSE,FALSE,NA,NA,NA,NA
FALSE,FALSE,FALSE,4/5/2019,FALSE,Lookingglass Fish Hatchery,Lookingglass  Upper Trap,FALSE,Session - 04/05/2019 Lookingglass  Upper Trap 8:00 AM PST,Steelhead,Summer,NA,13,1,Steelhead,Summer,Female,Natural,( Existing Unclipped [Mark UNC]  and Existing Coded Wire Tag-Not Present [Tag CWT-NP]  ),Natural,NA,NA,oregon,7/22/2025,Alive,654,NA,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Lookingglass Creek Upstream,Release Site,FALSE,NA,NA,NA,NA,Released,Lookingglass Creek Upstream,45.75,-117.870002746582,Natural Spawning,UNC,1,ROP,1,NA,NA,Not Present,NA,NA,NA,3DD.0077B62301,NA,"GEN 13, SCALE 13",NA,FALSE,FALSE,NA,NA,NA,NA
FALSE,FALSE,FALSE,4/8/2019,FALSE,Lookingglass Fish Hatchery,Lookingglass  Upper Trap,FALSE,Session - 04/08/2019 Lookingglass  Upper Trap 8:00 AM PST,Steelhead,Summer,NA,16,1,Steelhead,Summer,Male,Natural,( Existing Unclipped [Mark UNC]  and Existing Coded Wire Tag-Not Present [Tag CWT-NP]  ),Natural,NA,NA,oregon,7/22/2025,Alive,636,NA,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Lookingglass Creek Upstream,Release Site,FALSE,NA,NA,NA,NA,Released,Lookingglass Creek Upstream,45.75,-117.870002746582,Natural Spawning,UNC,1,ROP,1,NA,NA,Not Present,NA,NA,NA,NA,NA,"GEN 16, SCALE 16",NA,FALSE,FALSE,NA,NA,NA,NA
FALSE,FALSE,FALSE,4/8/2019,FALSE,Lookingglass Fish Hatchery,Lookingglass  Upper Trap,FALSE,Session - 04/08/2019 Lookingglass  Upper Trap 8:00 AM PST,Steelhead,Summer,NA,17,1,Steelhead,Summer,Female,Natural,( Existing Unclipped [Mark UNC]  and Existing Coded Wire Tag-Not Present [Tag CWT-NP]  ),Natural,NA,NA,oregon,7/22/2025,Alive,717,NA,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Lookingglass Creek Upstream,Release Site,FALSE,NA,NA,NA,NA,Released,Lookingglass Creek Upstream,45.75,-117.870002746582,Natural Spawning,UNC,1,ROP,1,NA,NA,Not Present,NA,NA,NA,NA,NA,"GEN 17, SCALE 17",NA,FALSE,FALSE,NA,NA,NA,NA
FALSE,FALSE,FALSE,4/5/2019,FALSE,Lookingglass Fish Hatchery,Lookingglass  Upper Trap,FALSE,Session - 04/05/2019 Lookingglass  Upper Trap 8:00 AM PST,Steelhead,Summer,NA,14,1,Steelhead,Summer,Male,Natural,( Existing Unclipped [Mark UNC]  and Existing Coded Wire Tag-Not Present [Tag CWT-NP]  ),Natural,NA,NA,oregon,7/22/2025,Alive,629,NA,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Lookingglass Creek Upstream,Release Site,FALSE,NA,NA,NA,NA,Released,Lookingglass Creek Upstream,45.75,-117.870002746582,Natural Spawning,UNC,1,ROP,1,NA,NA,Not Present,NA,NA,NA,NA,NA,"GEN 14, SCALE 14",NA,FALSE,FALSE,NA,NA,NA,NA
FALSE,FALSE,FALSE,4/12/2019,FALSE,Lookingglass Fish Hatchery,Lookingglass  Upper Trap,FALSE,Session - 04/12/2019 Lookingglass  Upper Trap 8:00 AM PST,Steelhead,Summer,NA,20,1,Steelhead,Summer,Male,Natural,( Existing Unclipped [Mark UNC]  and Existing Coded Wire Tag-Not Present [Tag CWT-NP]  ),Natural,NA,NA,oregon,7/22/2025,Alive,622,NA,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Lookingglass Creek Upstream,Release Site,FALSE,NA,NA,NA,NA,Released,Lookingglass Creek Upstream,45.75,-117.870002746582,Natural Spawning,UNC,1,ROP,1,NA,NA,Not Present,NA,NA,NA,NA,NA,"GEN 20, SCALE 20",NA,FALSE,FALSE,NA,NA,NA,NA
FALSE,FALSE,FALSE,4/12/2019,FALSE,Lookingglass Fish Hatchery,Lookingglass  Upper Trap,FALSE,Session - 04/12/2019 Lookingglass  Upper Trap 8:00 AM PST,Steelhead,Summer,NA,21,1,Steelhead,Summer,Male,Natural,( Existing Unclipped [Mark UNC]  and Existing Coded Wire Tag-Not Present [Tag CWT-NP]  ),Natural,NA,NA,oregon,7/22/2025,Alive,550,NA,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Lookingglass Creek Upstream,Release Site,FALSE,NA,NA,NA,NA,Released,Lookingglass Creek Upstream,45.75,-117.870002746582,Natural Spawning,UNC,1,ROP,1,NA,NA,Not Present,NA,NA,NA,3DD.00775ED47E,PIT,"GEN 21, SCALE 21",NA,FALSE,FALSE,NA,NA,NA,NA
FALSE,FALSE,FALSE,4/12/2019,FALSE,Lookingglass Fish Hatchery,Lookingglass  Upper Trap,FALSE,Session - 04/12/2019 Lookingglass  Upper Trap 8:00 AM PST,Steelhead,Summer,NA,22,1,Steelhead,Summer,Female,Natural,( Existing Unclipped [Mark UNC]  and Existing Coded Wire Tag-Not Present [Tag CWT-NP]  ),Natural,NA,NA,oregon,7/22/2025,Alive,704,NA,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Lookingglass Creek Upstream,Release Site,FALSE,NA,NA,NA,NA,Released,Lookingglass Creek Upstream,45.75,-117.870002746582,Natural Spawning,UNC,1,ROP,1,NA,NA,Not Present,NA,NA,NA,NA,NA,"GEN 22, SCALE 22",NA,FALSE,FALSE,NA,NA,NA,NA
FALSE,FALSE,FALSE,4/15/2019,FALSE,Lookingglass Fish Hatchery,Lookingglass  Upper Trap,FALSE,Session - 04/15/2019 Lookingglass  Upper Trap 8:00 AM PST,Steelhead,Summer,NA,23,1,Steelhead,Summer,Male,Natural,( Existing Unclipped [Mark UNC]  and Existing Coded Wire Tag-Not Present [Tag CWT-NP]  ),Natural,NA,NA,oregon,7/22/2025,Alive,564,NA,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Lookingglass Creek Upstream,Release Site,FALSE,NA,NA,NA,NA,Released,Lookingglass Creek Upstream,45.75,-117.870002746582,Natural Spawning,UNC,1,ROP,1,NA,NA,Not Present,NA,NA,NA,3DD.007763F440,NA,"GEN 23, SCALE 23",NA,FALSE,FALSE,NA,NA,NA,NA
FALSE,FALSE,FALSE,4/15/2019,FALSE,Lookingglass Fish Hatchery,Lookingglass  Upper Trap,FALSE,Session - 04/15/2019 Lookingglass  Upper Trap 8:00 AM PST,Steelhead,Summer,NA,24,1,Steelhead,Summer,Male,Natural,( Existing Unclipped [Mark UNC]  and Existing Coded Wire Tag-Not Present [Tag CWT-NP]  ),Natural,NA,NA,oregon,7/22/2025,Alive,572,NA,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Lookingglass Creek Upstream,Release Site,FALSE,NA,NA,NA,NA,Released,Lookingglass Creek Upstream,45.75,-117.870002746582,Natural Spawning,UNC,1,ROP,1,NA,NA,Not Present,NA,NA,NA,3DD.00775EC9FE,NA,"GEN 24, SCALE 24",NA,FALSE,FALSE,NA,NA,NA,NA
FALSE,FALSE,FALSE,4/15/2019,FALSE,Lookingglass Fish Hatchery,Lookingglass  Upper Trap,FALSE,Session - 04/15/2019 Lookingglass  Upper Trap 8:00 AM PST,Steelhead,Summer,NA,25,1,Steelhead,Summer,Female,Natural,( Existing Unclipped [Mark UNC]  and Existing Coded Wire Tag-Not Present [Tag CWT-NP]  ),Natural,NA,NA,oregon,7/22/2025,Alive,710,NA,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Lookingglass Creek Upstream,Release Site,FALSE,NA,NA,NA,NA,Released,Lookingglass Creek Upstream,45.75,-117.870002746582,Natural Spawning,UNC,1,ROP,1,NA,NA,Not Present,NA,NA,NA,NA,NA,"GEN 25, SCALE 25",NA,FALSE,FALSE,NA,NA,NA,NA
FALSE,FALSE,FALSE,4/15/2019,FALSE,Lookingglass Fish Hatchery,Lookingglass  Upper Trap,FALSE,Session - 04/15/2019 Lookingglass  Upper Trap 8:00 AM PST,Steelhead,Summer,NA,26,1,Steelhead,Summer,Male,Hatchery,( Existing Adipose Clipped [Mark AD]  or Existing Coded Wire Tag [Tag CWT]  ),Hatchery,NA,NA,oregon,7/22/2025,Killed,706,NA,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Landfill,Disposal,FALSE,NA,NA,NA,NA,Disposed,NA,NA,NA,Stray Removal,AD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GEN 26, SCALE 26",NA,FALSE,FALSE,NA,NA,NA,NA
FALSE,FALSE,FALSE,4/15/2019,FALSE,Lookingglass Fish Hatchery,Lookingglass  Upper Trap,FALSE,Session - 04/15/2019 Lookingglass  Upper Trap 8:00 AM PST,Steelhead,Summer,NA,27,1,Steelhead,Summer,Male,Natural,( Existing Unclipped [Mark UNC]  and Existing Coded Wire Tag-Not Present [Tag CWT-NP]  ),Natural,NA,NA,oregon,7/22/2025,Alive,552,NA,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Lookingglass Creek Upstream,Release Site,FALSE,NA,NA,NA,NA,Released,Lookingglass Creek Upstream,45.75,-117.870002746582,Natural Spawning,UNC,1,ROP,1,NA,NA,Not Present,NA,NA,NA,NA,NA,"GEN 27, SCALE 27",NA,FALSE,FALSE,NA,NA,NA,NA
FALSE,FALSE,FALSE,4/8/2019,FALSE,Lookingglass Fish Hatchery,Lookingglass  Upper Trap,FALSE,Session - 04/08/2019 Lookingglass  Upper Trap 8:00 AM PST,Steelhead,Summer,NA,15,1,Steelhead,Summer,Female,Natural,( Existing Unclipped [Mark UNC]  and Existing Coded Wire Tag-Not Present [Tag CWT-NP]  ),Natural,NA,NA,oregon,7/22/2025,Alive,588,NA,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Lookingglass Creek Upstream,Release Site,FALSE,NA,NA,NA,NA,Released,Lookingglass Creek Upstream,45.75,-117.870002746582,Natural Spawning,"ROP, UNC","1, 1",NA,NA,NA,NA,Not Present,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA
FALSE,FALSE,FALSE,4/11/2019,FALSE,Lookingglass Fish Hatchery,Lookingglass  Upper Trap,FALSE,Session - 04/11/2019 Lookingglass  Upper Trap 8:00 AM PST,Steelhead,Summer,NA,18,1,Steelhead,Summer,Male,Natural,( Existing Unclipped [Mark UNC]  and Existing Coded Wire Tag-Not Present [Tag CWT-NP]  ),Natural,NA,NA,oregon,7/22/2025,Alive,636,NA,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Lookingglass Creek Upstream,Release Site,FALSE,NA,NA,NA,NA,Released,Lookingglass Creek Upstream,45.75,-117.870002746582,Natural Spawning,"ROP, UNC","1, 1",NA,NA,NA,NA,Not Present,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA
FALSE,FALSE,FALSE,4/11/2019,FALSE,Lookingglass Fish Hatchery,Lookingglass  Upper Trap,FALSE,Session - 04/11/2019 Lookingglass  Upper Trap 8:00 AM PST,Steelhead,Summer,NA,19,1,Steelhead,Summer,Male,Natural,( Existing Unclipped [Mark UNC]  and Existing Coded Wire Tag-Not Present [Tag CWT-NP]  ),Natural,NA,NA,oregon,7/22/2025,Alive,616,NA,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Lookingglass Creek Upstream,Release Site,FALSE,NA,NA,NA,NA,Released,Lookingglass Creek Upstream,45.75,-117.870002746582,Natural Spawning,"ROP, UNC","1, 1",NA,NA,NA,NA,Not Present,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA
FALSE,FALSE,FALSE,4/17/2019,FALSE,Lookingglass Fish Hatchery,Lookingglass  Upper Trap,FALSE,Session - 04/17/2019 Lookingglass  Upper Trap 8:00 AM PST,Steelhead,Summer,NA,28,1,Steelhead,Summer,Female,Natural,( Existing Unclipped [Mark UNC]  and Existing Coded Wire Tag-Not Present [Tag CWT-NP]  ),Natural,NA,NA,oregon,7/22/2025,Alive,728,NA,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Lookingglass Creek Upstream,Release Site,FALSE,NA,NA,NA,NA,Released,Lookingglass Creek Upstream,45.75,-117.870002746582,Natural Spawning,UNC,1,ROP,1,NA,NA,Not Present,NA,NA,NA,NA,NA,"GEN 28, SCALE 28",NA,FALSE,FALSE,NA,NA,NA,NA
FALSE,FALSE,FALSE,4/17/2019,FALSE,Lookingglass Fish Hatchery,Lookingglass  Upper Trap,FALSE,Session - 04/17/2019 Lookingglass  Upper Trap 8:00 AM PST,Steelhead,Summer,NA,29,1,Steelhead,Summer,Male,Natural,( Existing Unclipped [Mark UNC]  and Existing Coded Wire Tag-Not Present [Tag CWT-NP]  ),Natural,NA,NA,oregon,7/22/2025,Alive,588,NA,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Lookingglass Creek Upstream,Release Site,FALSE,NA,NA,NA,NA,Released,Lookingglass Creek Upstream,45.75,-117.870002746582,Natural Spawning,UNC,1,ROP,1,NA,NA,Not Present,NA,NA,NA,NA,NA,"GEN 29, SCALE 29",NA,FALSE,FALSE,NA,NA,NA,NA
FALSE,FALSE,FALSE,4/17/2019,FALSE,Lookingglass Fish Hatchery,Lookingglass  Upper Trap,FALSE,Session - 04/17/2019 Lookingglass  Upper Trap 8:00 AM PST,Steelhead,Summer,NA,30,1,Steelhead,Summer,Male,Natural,( Existing Unclipped [Mark UNC]  and Existing Coded Wire Tag-Not Present [Tag CWT-NP]  ),Natural,NA,NA,oregon,7/22/2025,Alive,600,NA,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Lookingglass Creek Upstream,Release Site,FALSE,NA,NA,NA,NA,Released,Lookingglass Creek Upstream,45.75,-117.870002746582,Natural Spawning,UNC,1,ROP,1,NA,NA,Not Present,NA,NA,NA,NA,NA,"GEN 30, SCALE 30",NA,FALSE,FALSE,NA,NA,NA,NA
FALSE,FALSE,FALSE,4/19/2019,FALSE,Lookingglass Fish Hatchery,Lookingglass  Upper Trap,FALSE,Session - 04/19/2019 Lookingglass  Upper Trap 8:00 AM PST,Steelhead,Summer,NA,31,1,Steelhead,Summer,Male,Natural,( Existing Unclipped [Mark UNC]  and Existing Coded Wire Tag-Not Present [Tag CWT-NP]  ),Natural,NA,NA,oregon,7/22/2025,Alive,630,NA,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Lookingglass Creek Upstream,Release Site,FALSE,NA,NA,NA,NA,Released,Lookingglass Creek Upstream,45.75,-117.870002746582,Natural Spawning,"ROP, UNC","1, 1",NA,NA,NA,NA,Not Present,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA
FALSE,FALSE,FALSE,4/19/2019,FALSE,Lookingglass Fish Hatchery,Lookingglass  Upper Trap,FALSE,Session - 04/19/2019 Lookingglass  Upper Trap 8:00 AM PST,Steelhead,Summer,NA,32,1,Steelhead,Summer,Male,Natural,( Existing Unclipped [Mark UNC]  and Existing Coded Wire Tag-Not Present [Tag CWT-NP]  ),Natural,NA,NA,oregon,7/22/2025,Alive,546,NA,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Lookingglass Creek Upstream,Release Site,FALSE,NA,NA,NA,NA,Released,Lookingglass Creek Upstream,45.75,-117.870002746582,Natural Spawning,"ROP, UNC","1, 1",NA,NA,NA,NA,Not Present,NA,NA,NA,3DD.00775ED47E,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA
